,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,exam_max
183,100,100,95.27,100,100,96.47,100,97.34,0,100,100,84
184,100,94.42,92.53,84.67,100,84.37,93.30,90.60,76,99,100,88
185,100,100,98.77,100,100,100,100,99.70,100,100,100,93
186,81.67,80.91,84.36,90.96,0,100,92.81,92.78,62.53,100,85.20,74
187,100,95.25,96.10,100,100,99.03,87.50,97.90,88,100,96.11,93
188,100,100,99.20,100,93.46,100,95.83,0,89,100,98.91,98
189,100,75.02,86.96,78,100,100,95,82.50,87.87,95,100,79
190,100,100,87.94,83.56,100,100,100,87.23,98,98,72,85
191,100,100,89.30,64.17,0,99.03,81.46,92.44,90,99,60,59
192,100,100,100,84.67,100,89.90,85.38,92.90,95.97,100,100,88
193,100,100,65.80,84.15,100,98.31,95,91.40,85.34,100,88,89
194,100,100,89.88,88,89.63,98.23,96.88,10,0,100,88.40,74
195,100,94.75,100,100,93.33,94.46,100,96.70,67.04,100,100,87
196,100,93,100,100,100,100,94.79,100,100,100,100,100
197,100,84.93,95.70,92.22,100,98.65,100,92.40,100,100,98.91,98
198,100,100,92.51,88.06,97.42,92.15,86.88,81.28,61.20,100,68.40,83
199,100,95.91,94.02,87.85,97.93,99.70,96.88,96,90,95,100,98
200,100,85.78,96.53,98,100,91.25,96.88,85.58,90,100,100,87
201,100,88.11,91.29,100,99.03,98.23,78.12,69.98,92,100,100,76
202,100,95.25,99.60,100,100,96.41,91.25,100,98,97.50,98.91,96
203,100,93.89,100,95.78,100,99.33,92.71,97.72,94,100,97.20,99
204,100,98.61,97.41,92.59,100,99.70,96.88,100,78.71,95,97.20,98
205,100,93.25,96.60,100,98,100,100,100,100,100,97.20,94
206,100,98,99.60,100,100,100,95.31,89.44,95.97,100,97.20,94
207,100,100,96.31,88.37,90.91,98.91,70.12,93.30,19.79,100,94.40,86
208,100,100,95.35,78.69,82.01,86.57,75,0,72.17,99,0,59
209,100,95.50,98.24,98,100,98.91,86.46,80.03,98,100,100,89
210,100,97.50,94.77,96.89,100,89.18,96.88,65.47,88.47,100,64.91,87
211,100,100,80.18,74.89,100,89.98,76.52,94.04,89.97,100,100,59
212,100,100,100,100,100,99.70,93.75,97.90,85.97,99,100,90
